Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Contravention,Contravention Description
05/03/2020  10:53: ,£0.00,Cancelled,Radium Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:53: ,£0.00,Post NtO,Cheetham Hill Road,Cheetham,Postal-vehicle drive away,Restricted Area,£70.00,23,Parked in a parking place or area not designated for that class of vehicle 
05/03/2020  10:54: ,£0.00,Cancelled,Burlington Street,Hulme,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:54: ,-£25.00,Pre-NtO Discount,Charlotte Street (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  10:56: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:56: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:56: ,-£35.00,Post NtO,Oldham Road (Anc&Bes),Anc & Besw,Postal - Prevented From Serving,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:57: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:59: ,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:59: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:59: ,-£25.00,Pre-NtO Discount,Faulkner Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
05/03/2020  11:02: ,£0.00,Pre-NtO Full Rate,West Mosely Street,Deansgate,Affixed to vehicle,Restricted Area,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  11:02: ,-£50.00,Pre-NtO Full Rate,St John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
05/03/2020  11:03: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:03: ,-£25.00,Pre-NtO Discount,Carmoor Road,Ardwick,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  11:04: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:04: ,£0.00,Post NtO,Waterloo Road,Cheetham,Postal-vehicle drive away,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:05: ,-£25.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,86,Not parked correctly within the markings of a bay or space 
05/03/2020  11:08: ,-£35.00,Pre-NtO Discount,Grosvenor Street (Ardwick),Ardwick,Affixed to vehicle,Restricted Area,-£35.00,27,Parked adjacent to a dropped footway 
05/03/2020  11:08: ,-£35.00,Pre-NtO Discount,Burlington Street,Hulme,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:09: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:09: ,-£25.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,86,Not parked correctly within the markings of a bay or space 
05/03/2020  11:09: ,-£50.00,Pre-NtO Full Rate,Lloyd Street,Moss Side,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
05/03/2020  11:11: ,£0.00,Pre-NtO Discount,St Ann Street,Deansgate,Affixed to vehicle,No Loading at Any Time,£70.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
05/03/2020  11:12: ,£0.00,Pre-NtO Full Rate,Rusholme Place (Rusholme),Rusholme,Affixed to vehicle,No Loading at Any Time,£70.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
05/03/2020  11:12: ,£0.00,Pre-NtO Full Rate,Lloyd Street,Moss Side,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
05/03/2020  11:13: ,-£25.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
05/03/2020  11:14: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:14: ,£0.00,Cancelled,Burlington Street,Hulme,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:15: ,£0.00,Pre-NtO Full Rate,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
05/03/2020  11:15: ,-£25.00,Pre-NtO Discount,Sheffield Street Car Park,Piccadilly,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
05/03/2020  11:15: ,-£35.00,Pre-NtO Discount,Red Bank,Cheetham,Handed To Driver,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:16: ,£0.00,Pre-NtO Full Rate,Market Street (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£70.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
05/03/2020  11:16: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:17: ,£0.00,Pre-NtO Full Rate,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£50.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
05/03/2020  11:18: ,£0.00,Cancelled,Redhill Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  11:19: ,£0.00,Pre-NtO Full Rate,Chatham Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,24,Not parked correctly within the markings of the bay or space 
05/03/2020  11:20: ,-£35.00,Pre-NtO Discount,Carrill Grove East,Levenshulme,Affixed to vehicle,GV Loading Bay,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
05/03/2020  11:20: ,£0.00,Post NtO,Aspinall Street,Moss Side,Postal-vehicle drive away,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:21: ,£0.00,Pre-NtO Full Rate,George Leigh Street,Anc & Besw,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:21: ,£0.00,Pre-NtO Full Rate,South King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
05/03/2020  11:21: ,£0.00,Pre-NtO Full Rate,Marriott Street,Withington,Affixed to vehicle,Parking Place,£70.00,12,Parked in a residents' or shared use parking place without clearly displaying either a permit or voucher or pay and display ticket issued for that place 
05/03/2020  11:21: ,-£25.00,Pre-NtO Discount,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
05/03/2020  11:23: ,£0.00,Pre-NtO Full Rate,Buxton Street,Piccadilly,Affixed to vehicle,Limited Waiting,£50.00,30,Parked for longer than permitted 
05/03/2020  11:23: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:24: ,-£30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:24: ,£0.00,Pre-NtO Full Rate,Lord Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:24: ,£0.00,Pre-NtO Full Rate,Thomas Street (Cheetham),Cheetham,Affixed to vehicle,Restricted Area,£70.00,23,Parked in a parking place or area not designated for that class of vehicle 
05/03/2020  11:24: ,-£35.00,Pre-NtO Discount,Roby Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:25: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:25: ,£0.00,Cancelled,Burlington Street,Hulme,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:26: ,£0.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:27: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:28: ,-£35.00,Post NtO,Thomas Street (Cheetham),Cheetham,Postal-vehicle drive away,Restricted Area,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
05/03/2020  11:28: ,£0.00,Pre-NtO Full Rate,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£50.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
05/03/2020  11:28: ,-£25.00,Pre-NtO Discount,Gore Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
05/03/2020  11:28: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:28: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:28: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:28: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:29: ,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:29: ,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:29: ,£0.00,Cancelled,Pollard Street,Anc & Besw,Affixed to vehicle,No Loading,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
05/03/2020  11:29: ,-£25.00,Pre-NtO Discount,Chepstow Street South,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  11:31: ,£0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:31: ,£0.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:32: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:33: ,£0.00,Pre-NtO Full Rate,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  11:33: ,-£25.00,Pre-NtO Discount,Dickinson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
05/03/2020  11:33: ,-£25.00,Pre-NtO Discount,Chepstow Street South,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  11:35: ,-£25.00,Pre-NtO Discount,Crediton Close,Hulme,Affixed to vehicle,Restricted Area,£0.00,30,Parked for longer than permitted 
05/03/2020  11:35: ,-£25.00,Pre-NtO Discount,Cheapside,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  11:36: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:37: ,-£25.00,Pre-NtO Discount,Chepstow Street South,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  11:37: ,-£70.00,Pre-NtO Discount,Broom Lane,Levenshulme,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:38: ,-£35.00,Pre-NtO Discount,Cromwell Range,Rusholme,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:38: ,-£25.00,Pre-NtO Discount,Crediton Close,Hulme,Affixed to vehicle,Restricted Area,£0.00,30,Parked for longer than permitted 
05/03/2020  11:38: ,-£50.00,Pre-NtO Discount,Blossom Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
05/03/2020  11:39: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:39: ,-£35.00,Post NtO,Bonsall Street,Hulme,Postal-vehicle drive away,Pedestrian Crossing,£0.00,99,Stopped on a pedestrian crossing and/or crossing area marked by zig-zags  
05/03/2020  11:41: ,£0.00,Cancelled,Everett Road,Old Moat,Affixed to vehicle,Parking Place,£0.00,30,Parked for longer than permitted 
05/03/2020  11:41: ,-£50.00,Pre-NtO Full Rate,Botham Close,Hulme,Affixed to vehicle,Restricted Area,£0.00,30,Parked for longer than permitted 
05/03/2020  11:41: ,-£25.00,Pre-NtO Discount,Botham Close,Hulme,Affixed to vehicle,Restricted Area,£0.00,30,Parked for longer than permitted 
05/03/2020  11:42: ,-£50.00,Pre-NtO Full Rate,Great John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
05/03/2020  11:43: ,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:43: ,-£50.00,Pre-NtO Full Rate,Everett Road,Old Moat,Affixed to vehicle,Parking Place,£0.00,30,Parked for longer than permitted 
05/03/2020  11:44: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:45: ,-£35.00,Pre-NtO Discount,Epping Street,Hulme,Affixed to vehicle,Residents Parking,£0.00,12,Parked in a residents' or shared use parking place without clearly displaying either a permit or voucher or pay and display ticket issued for that place 
05/03/2020  11:45: ,£0.00,Pre-NtO Full Rate,Everett Road,Old Moat,Affixed to vehicle,Parking Place,£50.00,30,Parked for longer than permitted 
05/03/2020  11:46: ,£0.00,Pre-NtO Full Rate,Dickinson Street,Deansgate,Handed To Driver,GV Loading Bay,£35.00,23,Parked in a parking place or area not designated for that class of vehicle 
05/03/2020  11:46: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:47: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:49: ,£0.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:50: ,£0.00,Pre-NtO Full Rate,Cheetham Hill Road (Cheetham),Cheetham,Affixed to vehicle,GV Loading Bay,£35.00,23,Parked in a parking place or area not designated for that class of vehicle 
05/03/2020  11:50: ,-£30.00,Post NtO,Parrs Wood Lane (A34 to Burnage Lane),DidsburyEast,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:50: ,£0.00,Pre-NtO Full Rate,Port Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
05/03/2020  11:50: ,-£35.00,Pre-NtO Discount,Brown Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
05/03/2020  11:51: ,-£35.00,Pre-NtO Discount,St Marys Street (City Centre),Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
05/03/2020  11:51: ,-£25.00,Pre-NtO Discount,Eyre Street,Hulme,Affixed to vehicle,Limited Waiting,£0.00,30,Parked for longer than permitted 
05/03/2020  11:51: ,-£25.00,Pre-NtO Discount,Eyre Street,Hulme,Affixed to vehicle,Limited Waiting,£0.00,30,Parked for longer than permitted 
05/03/2020  11:52: ,-£35.00,Pre-NtO Discount,Higher Ardwick,Ardwick,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  11:52: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:54: ,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  11:55: ,-£35.00,Pre-NtO Discount,Moorfield Street,Old Moat,Affixed to vehicle,No Waiting At Any Time,£0.00,27,Parked adjacent to a dropped footway 
